Date,Close
30-12-2005,957.41
02-01-2006,944.89
03-01-2006,961.77
04-01-2006,960.76
05-01-2006,954.31
06-01-2006,966.27
09-01-2006,971.76
10-01-2006,950.74
12-01-2006,940.01
13-01-2006,937.24
16-01-2006,930
17-01-2006,916.9
18-01-2006,917.46
19-01-2006,956.02
20-01-2006,950.24
23-01-2006,951.21
24-01-2006,956.94
25-01-2006,966.59
27-01-2006,968.62
30-01-2006,971.76
31-01-2006,969.78
01-02-2006,953.02
02-02-2006,975.81
03-02-2006,980.96
06-02-2006,987.18
07-02-2006,994.69
08-02-2006,993.04
10-02-2006,988.34
13-02-2006,998.95
14-02-2006,1004.98
15-02-2006,1003.32
16-02-2006,995.34
17-02-2006,989.44
20-02-2006,984.83
21-02-2006,996.22
22-02-2006,991.79
23-02-2006,990.58
24-02-2006,988.45
27-02-2006,981.33
28-02-2006,979.48
01-03-2006,1010.22
02-03-2006,1052.41
03-03-2006,1076.4
06-03-2006,1069.38
07-03-2006,1067.01
08-03-2006,1039.96
09-03-2006,1027.62
10-03-2006,1048.18
13-03-2006,1060.06
14-03-2006,1051.74
16-03-2006,1065.47
17-03-2006,1058.99
20-03-2006,1066.18
21-03-2006,1071.45
22-03-2006,1060.24
23-03-2006,1054.56
24-03-2006,1063.11
27-03-2006,1088.65
28-03-2006,1092.39
29-03-2006,1106.06
30-03-2006,1145.43
31-03-2006,1141.64
03-04-2006,1164.88
04-04-2006,1169.01
05-04-2006,1179.77
07-04-2006,1149.21
10-04-2006,1158.58
12-04-2006,1134.51
13-04-2006,1109.59
17-04-2006,1117.3
18-04-2006,1142.82
19-04-2006,1146.85
20-04-2006,1158.35
21-04-2006,1160.71
24-04-2006,1162.65
25-04-2006,1138.3
26-04-2006,1166.4
27-04-2006,1143.09
28-04-2006,1145.63
02-05-2006,1171.18
03-05-2006,1211.54
04-05-2006,1211.16
05-05-2006,1212.3
08-05-2006,1222.73
09-05-2006,1206.82
10-05-2006,1204.62
11-05-2006,1200.91
12-05-2006,1191.41
15-05-2006,1141.24
16-05-2006,1137.42
17-05-2006,1186.68
18-05-2006,1106.82
19-05-2006,1063.5
22-05-2006,995.25
23-05-2006,1027.16
24-05-2006,1026.28
25-05-2006,1078.51
26-05-2006,1073.68
29-05-2006,1062.74
30-05-2006,1038.79
31-05-2006,1008.6
01-06-2006,960.95
02-06-2006,1003.6
05-06-2006,970.15
06-06-2006,947.8
07-06-2006,946.7
08-06-2006,888.68
09-06-2006,924.93
12-06-2006,893.68
13-06-2006,869.74
14-06-2006,876.02
15-06-2006,930.03
16-06-2006,977.08
19-06-2006,983.57
20-06-2006,973.22
21-06-2006,1007.24
22-06-2006,1005.39
23-06-2006,1016.05
26-06-2006,980.47
27-06-2006,982.99
28-06-2006,990.48
29-06-2006,979.55
30-06-2006,1012.94
03-07-2006,1011.38
04-07-2006,1000.42
05-07-2006,1020.56
06-07-2006,1011.56
07-07-2006,1000.28
10-07-2006,1040.79
11-07-2006,1026.72
12-07-2006,1031.11
13-07-2006,1005.31
14-07-2006,986.51
17-07-2006,960.01
18-07-2006,963.96
19-07-2006,942.58
20-07-2006,972.78
21-07-2006,952.95
24-07-2006,967.25
25-07-2006,980.55
26-07-2006,1015.83
27-07-2006,1039.53
28-07-2006,1016.82
31-07-2006,1009.45
01-08-2006,1026.57
02-08-2006,1035.84
03-08-2006,1045.67
04-08-2006,1047.67
07-08-2006,1031.48
08-08-2006,1056.97
09-08-2006,1057.49
10-08-2006,1073.57
11-08-2006,1065.52
14-08-2006,1085.79
16-08-2006,1093.97
17-08-2006,1094.03
18-08-2006,1085.36
21-08-2006,1087.97
22-08-2006,1087.82
23-08-2006,1078.72
24-08-2006,1100.13
25-08-2006,1100.76
28-08-2006,1105.06
29-08-2006,1102.21
30-08-2006,1103.32
31-08-2006,1091.85
01-09-2006,1094.24
04-09-2006,1110.47
05-09-2006,1110.46
06-09-2006,1132.4
07-09-2006,1124.47
08-09-2006,1138.33
11-09-2006,1102.54
12-09-2006,1110.21
13-09-2006,1153.64
14-09-2006,1145.97
15-09-2006,1158.09
18-09-2006,1154.79
19-09-2006,1144.51
20-09-2006,1190.77
21-09-2006,1201.21
22-09-2006,1205.7
25-09-2006,1215.1
26-09-2006,1219.74
27-09-2006,1216.25
28-09-2006,1203.15
29-09-2006,1201.75
03-10-2006,1198.18
04-10-2006,1184.47
05-10-2006,1183.1
06-10-2006,1198.03
09-10-2006,1204.49
10-10-2006,1209.83
11-10-2006,1213.23
12-10-2006,1223.64
13-10-2006,1226.23
16-10-2006,1241.42
17-10-2006,1241.15
18-10-2006,1253.73
19-10-2006,1245.22
20-10-2006,1257.93
23-10-2006,1257.47
26-10-2006,1269.55
27-10-2006,1314.54
30-10-2006,1339.75
31-10-2006,1308.42
01-11-2006,1333.1
02-11-2006,1343.28
03-11-2006,1340.09
06-11-2006,1338.86
07-11-2006,1341.28
08-11-2006,1339.64
09-11-2006,1335.11
10-11-2006,1341.64
13-11-2006,1376.76
14-11-2006,1378.64
15-11-2006,1402.09
16-11-2006,1397.74
17-11-2006,1396.43
20-11-2006,1435.51
21-11-2006,1476.46
22-11-2006,1505.28
23-11-2006,1478.49
24-11-2006,1466.82
27-11-2006,1492.18
28-11-2006,1483.64
29-11-2006,1468.29
30-11-2006,1485.27
01-12-2006,1496.17
04-12-2006,1494.44
05-12-2006,1509.05
06-12-2006,1519.13
07-12-2006,1502.29
08-12-2006,1488.15
11-12-2006,1428.21
12-12-2006,1361.89
13-12-2006,1406.98
14-12-2006,1433.82
15-12-2006,1449.62
18-12-2006,1451.37
19-12-2006,1425.38
20-12-2006,1423.1
21-12-2006,1438.64
22-12-2006,1451.68
26-12-2006,1473.82
27-12-2006,1492.8
28-12-2006,1492.75
29-12-2006,1494.68
01-01-2007,1494.68
02-01-2007,1511.66
03-01-2007,1531.66
04-01-2007,1518.28
05-01-2007,1521.37
08-01-2007,1504.48
09-01-2007,1503.58
10-01-2007,1478.94
11-01-2007,1529.81
12-01-2007,1591.73
15-01-2007,1592.06
16-01-2007,1610.48
17-01-2007,1603.92
18-01-2007,1615.8
19-01-2007,1638.59
22-01-2007,1629.44
23-01-2007,1651.64
24-01-2007,1644.11
25-01-2007,1714.43
26-01-2007,1714.43
29-01-2007,1700.06
30-01-2007,1700.06
31-01-2007,1685.83
01-02-2007,1737.99
02-02-2007,1822.83
05-02-2007,1845.88
06-02-2007,1823.9
07-02-2007,1830.74
08-02-2007,1814.11
09-02-2007,1775.18
12-02-2007,1699.01
13-02-2007,1711.47
14-02-2007,1758.42
15-02-2007,1827.5
16-02-2007,1827.5
19-02-2007,1835.56
20-02-2007,1819.88
21-02-2007,1846.37
22-02-2007,1830.45
23-02-2007,1732.05
26-02-2007,1690.49
27-02-2007,1672.19
28-02-2007,1648.09
01-03-2007,1667.53
02-03-2007,1625.16
05-03-2007,1585.92
06-03-2007,1644.55
07-03-2007,1650.8
08-03-2007,1730.49
09-03-2007,1707.68
12-03-2007,1742.64
13-03-2007,1738.73
14-03-2007,1663.06
15-03-2007,1664.4
16-03-2007,1645.5
19-03-2007,1699.26
20-03-2007,1708.98
21-03-2007,1754.64
22-03-2007,1809.65
23-03-2007,1808.49
26-03-2007,1799.17
27-03-2007,1799.17
28-03-2007,1762.82
29-03-2007,1767.88
30-03-2007,1773.4
02-04-2007,1694.31
03-04-2007,1705.73
04-04-2007,1718.41
05-04-2007,1718.22
06-04-2007,1718.22
09-04-2007,1769.26
10-04-2007,1779.04
11-04-2007,1784.44
12-04-2007,1772.29
13-04-2007,1810.3
16-04-2007,1866.18
17-04-2007,1853.38
18-04-2007,1880.25
19-04-2007,1888.56
20-04-2007,1954.73
23-04-2007,1962.54
24-04-2007,2013.47
25-04-2007,2001.57
26-04-2007,1998.32
27-04-2007,1930.88
30-04-2007,1937.72
01-05-2007,1937.72
02-05-2007,1937.72
03-05-2007,1963.2
04-05-2007,1942.27
07-05-2007,1943.07
08-05-2007,1924.26
09-05-2007,1940.17
10-05-2007,1932.73
11-05-2007,1944.85
14-05-2007,1966.47
15-05-2007,1969.29
16-05-2007,2008.69
17-05-2007,2026.79
18-05-2007,2024.19
21-05-2007,2039.1
22-05-2007,2074.94
23-05-2007,2043.03
24-05-2007,2002.22
25-05-2007,2013.05
28-05-2007,2018.52
29-05-2007,2037.95
30-05-2007,2003.81
31-05-2007,2030.93
01-06-2007,2027.22
04-06-2007,2014.93
05-06-2007,2037.59
06-06-2007,2024.24
07-06-2007,2023.24
08-06-2007,2006.97
11-06-2007,1983.29
12-06-2007,1966.75
13-06-2007,1935.91
14-06-2007,1973.38
15-06-2007,1967.29
18-06-2007,1955.88
19-06-2007,1984.79
20-06-2007,2008.31
21-06-2007,2016.3
22-06-2007,2016.96
25-06-2007,2043.53
26-06-2007,2067.36
27-06-2007,2036.72
28-06-2007,2032.41
29-06-2007,2040.72
02-07-2007,2063.18
03-07-2007,2114.17
04-07-2007,2110.54
05-07-2007,2104.95
06-07-2007,2130.29
09-07-2007,2156.49
10-07-2007,2127.8
11-07-2007,2127.81
12-07-2007,2163.27
13-07-2007,2153.4
16-07-2007,2179.22
17-07-2007,2137.03
18-07-2007,2173.18
19-07-2007,2207.38
20-07-2007,2245.42
23-07-2007,2270.99
24-07-2007,2246.41
25-07-2007,2252.03
26-07-2007,2229.26
27-07-2007,2131.74
30-07-2007,2135.72
31-07-2007,2177.08
01-08-2007,2077.58
02-08-2007,2104.59
03-08-2007,2112.46
06-08-2007,2070.66
07-08-2007,2092.41
08-08-2007,2125.3
09-08-2007,2090.29
10-08-2007,2026.15
13-08-2007,2055.08
14-08-2007,2056.57
15-08-2007,2056.57
16-08-2007,1933
