Date,Open,High,Low,Close
16-Sep-05,,,,1000
19-Sep-05,,,,997.59
20-Sep-05,,,,989.25
21-Sep-05,,,,966.38
22-Sep-05,,,,914.27
23-Sep-05,,,,923.63
26-Sep-05,,,,953.69
27-Sep-05,,,,948.19
28-Sep-05,,,,951.27
29-Sep-05,,,,947.84
30-Sep-05,,,,948.7
03-Oct-05,,,,950.46
04-Oct-05,,,,961.88
05-Oct-05,,,,960.47
06-Oct-05,,,,938.05
07-Oct-05,,,,941.39
10-Oct-05,,,,953.56
11-Oct-05,,,,952.58
13-Oct-05,,,,934.08
14-Oct-05,,,,899.31
17-Oct-05,,,,877.3
18-Oct-05,,,,879.9
19-Oct-05,,,,850.88
20-Oct-05,,,,852.65
21-Oct-05,,,,893.53
24-Oct-05,,,,876.42
25-Oct-05,,,,889.01
26-Oct-05,,,,897.72
27-Oct-05,,,,841.26
28-Oct-05,,,,865.68
31-Oct-05,,,,858.7
01-Nov-05,,,,868.13
02-Nov-05,,,,883.69
07-Nov-05,,,,903.7
08-Nov-05,,,,908.94
09-Nov-05,,,,916.93
10-Nov-05,,,,917.99
11-Nov-05,,,,938.3
14-Nov-05,,,,948.53
16-Nov-05,,,,955.77
17-Nov-05,,,,961.61
18-Nov-05,,,,963.29
21-Nov-05,,,,946.73
22-Nov-05,,,,945.05
23-Nov-05,,,,942.19
24-Nov-05,,,,953.65
25-Nov-05,,,,970.2
28-Nov-05,,,,988.48
29-Nov-05,,,,977.75
30-Nov-05,,,,953.46
01-Dec-05,,,,966.75
02-Dec-05,,,,963.99
05-Dec-05,,,,942.81
06-Dec-05,,,,930.5
07-Dec-05,,,,943.3
08-Dec-05,,,,958
09-Dec-05,,,,979.43
12-Dec-05,,,,968.33
13-Dec-05,,,,973.64
14-Dec-05,,,,972.42
15-Dec-05,,,,965.8
16-Dec-05,,,,979.75
19-Dec-05,,,,993.67
20-Dec-05,,,,993.12
21-Dec-05,,,,988.06
22-Dec-05,,,,986.58
23-Dec-05,,,,974.61
26-Dec-05,,,,921.64
27-Dec-05,,,,953.24
28-Dec-05,,,,945.86
29-Dec-05,,,,948.22
30-Dec-05,,,,957.41
02-Jan-06,,,,944.89
03-Jan-06,,,,961.77
04-Jan-06,,,,960.76
05-Jan-06,,,,954.31
06-Jan-06,,,,966.27
09-Jan-06,,,,971.76
10-Jan-06,,,,950.74
12-Jan-06,,,,940.01
13-Jan-06,,,,937.24
16-Jan-06,,,,930
17-Jan-06,,,,916.9
18-Jan-06,,,,917.46
19-Jan-06,,,,956.02
20-Jan-06,,,,950.24
23-Jan-06,,,,951.21
24-Jan-06,,,,956.94
25-Jan-06,,,,966.59
27-Jan-06,,,,968.62
30-Jan-06,,,,971.76
31-Jan-06,,,,969.78
01-Feb-06,,,,953.02
02-Feb-06,,,,975.81
03-Feb-06,,,,980.96
06-Feb-06,,,,987.18
07-Feb-06,,,,994.69
08-Feb-06,,,,993.04
10-Feb-06,,,,988.34
13-Feb-06,,,,998.95
14-Feb-06,,,,1004.98
15-Feb-06,,,,1003.32
16-Feb-06,,,,995.34
17-Feb-06,,,,989.44
20-Feb-06,,,,984.83
21-Feb-06,,,,996.22
22-Feb-06,,,,991.79
23-Feb-06,,,,990.58
24-Feb-06,,,,988.45
27-Feb-06,,,,981.33
28-Feb-06,,,,979.48
01-Mar-06,,,,1010.22
02-Mar-06,,,,1052.41
03-Mar-06,,,,1076.4
06-Mar-06,,,,1069.38
07-Mar-06,,,,1067.01
08-Mar-06,,,,1039.96
09-Mar-06,,,,1027.62
10-Mar-06,,,,1048.18
13-Mar-06,,,,1060.06
14-Mar-06,,,,1051.74
16-Mar-06,,,,1065.47
17-Mar-06,,,,1058.99
20-Mar-06,,,,1066.18
21-Mar-06,,,,1071.45
22-Mar-06,,,,1060.24
23-Mar-06,,,,1054.56
24-Mar-06,,,,1063.11
27-Mar-06,,,,1088.65
28-Mar-06,,,,1092.39
29-Mar-06,,,,1106.06
30-Mar-06,,,,1145.43
31-Mar-06,,,,1141.64
03-Apr-06,,,,1164.88
04-Apr-06,,,,1169.01
05-Apr-06,,,,1179.77
07-Apr-06,,,,1149.21
10-Apr-06,,,,1158.58
12-Apr-06,,,,1134.51
13-Apr-06,,,,1109.59
17-Apr-06,,,,1117.3
18-Apr-06,,,,1142.82
19-Apr-06,,,,1146.85
20-Apr-06,,,,1158.35
21-Apr-06,,,,1160.71
24-Apr-06,,,,1162.65
25-Apr-06,,,,1138.3
26-Apr-06,,,,1166.4
27-Apr-06,,,,1143.09
28-Apr-06,,,,1145.63
02-May-06,,,,1171.18
03-May-06,,,,1211.54
04-May-06,,,,1211.16
05-May-06,,,,1212.3
08-May-06,,,,1222.73
09-May-06,,,,1206.82
10-May-06,,,,1204.62
11-May-06,,,,1200.91
12-May-06,,,,1191.41
15-May-06,,,,1141.24
16-May-06,,,,1137.42
17-May-06,,,,1186.68
18-May-06,,,,1106.82
19-May-06,,,,1063.5
22-May-06,,,,995.25
23-May-06,,,,1027.16
24-May-06,,,,1026.28
25-May-06,,,,1078.51
26-May-06,,,,1073.68
29-May-06,,,,1062.74
30-May-06,,,,1038.79
31-May-06,,,,1008.6
01-Jun-06,,,,960.95
02-Jun-06,,,,1003.6
05-Jun-06,,,,970.15
06-Jun-06,,,,947.8
07-Jun-06,,,,946.7
08-Jun-06,,,,888.68
09-Jun-06,,,,924.93
12-Jun-06,,,,893.68
13-Jun-06,,,,869.74
14-Jun-06,,,,876.02
15-Jun-06,,,,930.03
16-Jun-06,,,,977.08
19-Jun-06,,,,983.57
20-Jun-06,,,,973.22
21-Jun-06,,,,1007.24
22-Jun-06,,,,1005.39
23-Jun-06,,,,1016.05
26-Jun-06,,,,980.47
27-Jun-06,,,,982.99
28-Jun-06,,,,990.48
29-Jun-06,,,,979.55
30-Jun-06,,,,1012.94
03-Jul-06,,,,1011.38
04-Jul-06,,,,1000.42
05-Jul-06,,,,1020.56
06-Jul-06,,,,1011.56
07-Jul-06,,,,1000.28
10-Jul-06,,,,1040.79
11-Jul-06,,,,1026.72
12-Jul-06,,,,1031.11
13-Jul-06,,,,1005.31
14-Jul-06,,,,986.51
17-Jul-06,,,,960.01
18-Jul-06,,,,963.96
19-Jul-06,,,,942.58
20-Jul-06,,,,972.78
21-Jul-06,,,,952.95
24-Jul-06,,,,967.25
25-Jul-06,,,,980.55
26-Jul-06,,,,1015.83
27-Jul-06,,,,1039.53
28-Jul-06,,,,1016.82
31-Jul-06,,,,1009.45
01-Aug-06,,,,1026.57
02-Aug-06,,,,1035.84
03-Aug-06,,,,1045.67
04-Aug-06,,,,1047.67
07-Aug-06,,,,1031.48
08-Aug-06,,,,1056.97
09-Aug-06,,,,1057.49
10-Aug-06,,,,1073.57
11-Aug-06,,,,1065.52
14-Aug-06,,,,1085.79
16-Aug-06,,,,1093.97
17-Aug-06,,,,1094.03
18-Aug-06,,,,1085.36
21-Aug-06,,,,1087.97
22-Aug-06,,,,1087.82
23-Aug-06,,,,1078.72
24-Aug-06,,,,1100.13
25-Aug-06,,,,1100.76
28-Aug-06,,,,1105.06
29-Aug-06,,,,1102.21
30-Aug-06,,,,1103.32
31-Aug-06,,,,1091.85
01-Sep-06,,,,1094.24
04-Sep-06,,,,1110.47
05-Sep-06,,,,1110.46
06-Sep-06,,,,1132.4
07-Sep-06,,,,1124.47
08-Sep-06,,,,1138.33
11-Sep-06,,,,1102.54
12-Sep-06,,,,1110.21
13-Sep-06,,,,1153.64
14-Sep-06,,,,1145.97
15-Sep-06,,,,1158.09
18-Sep-06,,,,1154.79
19-Sep-06,,,,1144.51
20-Sep-06,,,,1190.77
21-Sep-06,,,,1201.21
22-Sep-06,,,,1205.7
25-Sep-06,,,,1215.1
26-Sep-06,,,,1219.74
27-Sep-06,,,,1216.25
28-Sep-06,,,,1203.15
29-Sep-06,,,,1201.75
03-Oct-06,,,,1198.18
04-Oct-06,,,,1184.47
05-Oct-06,,,,1183.1
06-Oct-06,,,,1198.03
09-Oct-06,,,,1204.49
10-Oct-06,,,,1209.83
11-Oct-06,,,,1213.23
12-Oct-06,,,,1223.64
13-Oct-06,,,,1226.23
16-Oct-06,,,,1241.42
17-Oct-06,,,,1241.15
18-Oct-06,,,,1253.73
19-Oct-06,,,,1245.22
20-Oct-06,,,,1257.93
23-Oct-06,,,,1257.47
26-Oct-06,,,,1269.55
27-Oct-06,,,,1314.54
30-Oct-06,,,,1339.75
31-Oct-06,,,,1308.42
01-Nov-06,,,,1333.1
02-Nov-06,,,,1343.28
03-Nov-06,,,,1340.09
06-Nov-06,,,,1338.86
07-Nov-06,,,,1341.28
08-Nov-06,,,,1339.64
09-Nov-06,,,,1335.11
10-Nov-06,,,,1341.64
13-Nov-06,,,,1376.76
14-Nov-06,,,,1378.64
15-Nov-06,,,,1402.09
16-Nov-06,,,,1397.74
17-Nov-06,,,,1396.43
20-Nov-06,,,,1435.51
21-Nov-06,,,,1476.46
22-Nov-06,,,,1505.28
23-Nov-06,,,,1478.49
24-Nov-06,,,,1466.82
27-Nov-06,,,,1492.18
28-Nov-06,,,,1483.64
29-Nov-06,,,,1468.29
30-Nov-06,,,,1485.27
01-Dec-06,,,,1496.17
04-Dec-06,,,,1494.44
05-Dec-06,,,,1509.05
06-Dec-06,,,,1519.13
07-Dec-06,,,,1502.29
08-Dec-06,,,,1488.15
11-Dec-06,,,,1428.21
12-Dec-06,,,,1361.89
13-Dec-06,,,,1406.98
14-Dec-06,,,,1433.82
15-Dec-06,,,,1449.62
18-Dec-06,,,,1451.37
19-Dec-06,,,,1425.38
20-Dec-06,,,,1423.1
21-Dec-06,,,,1438.64
22-Dec-06,,,,1451.68
26-Dec-06,,,,1473.82
27-Dec-06,,,,1492.8
28-Dec-06,,,,1492.75
29-Dec-06,,,,1494.68
01-Jan-07,,,,1494.68
02-Jan-07,,,,1511.66
03-Jan-07,,,,1531.66
04-Jan-07,,,,1518.28
05-Jan-07,,,,1521.37
08-Jan-07,,,,1504.48
09-Jan-07,,,,1503.58
10-Jan-07,,,,1478.94
11-Jan-07,,,,1529.81
12-Jan-07,,,,1591.73
15-Jan-07,,,,1592.06
16-Jan-07,,,,1610.48
17-Jan-07,,,,1603.92
18-Jan-07,,,,1615.8
19-Jan-07,,,,1638.59
22-Jan-07,,,,1629.44
23-Jan-07,,,,1651.64
24-Jan-07,,,,1644.11
25-Jan-07,,,,1714.43
26-Jan-07,,,,1714.43
29-Jan-07,,,,1700.06
30-Jan-07,,,,1700.06
31-Jan-07,,,,1685.83
01-Feb-07,,,,1737.99
02-Feb-07,,,,1822.83
05-Feb-07,,,,1845.88
06-Feb-07,,,,1823.9
07-Feb-07,,,,1830.74
08-Feb-07,,,,1814.11
09-Feb-07,,,,1775.18
12-Feb-07,,,,1699.01
13-Feb-07,,,,1711.47
14-Feb-07,,,,1758.42
15-Feb-07,,,,1827.5
16-Feb-07,,,,1827.5
19-Feb-07,,,,1835.56
20-Feb-07,,,,1819.88
21-Feb-07,,,,1846.37
22-Feb-07,,,,1830.45
23-Feb-07,,,,1732.05
26-Feb-07,,,,1690.49
27-Feb-07,,,,1672.19
28-Feb-07,,,,1648.09
01-Mar-07,,,,1667.53
02-Mar-07,,,,1625.16
05-Mar-07,,,,1585.92
06-Mar-07,,,,1644.55
07-Mar-07,,,,1650.8
08-Mar-07,,,,1730.49
09-Mar-07,,,,1707.68
12-Mar-07,,,,1742.64
13-Mar-07,,,,1738.73
14-Mar-07,,,,1663.06
15-Mar-07,,,,1664.4
16-Mar-07,,,,1645.5
19-Mar-07,,,,1699.26
20-Mar-07,,,,1708.98
21-Mar-07,,,,1754.64
22-Mar-07,,,,1809.65
23-Mar-07,,,,1808.49
26-Mar-07,,,,1799.17
27-Mar-07,,,,1799.17
28-Mar-07,,,,1762.82
29-Mar-07,,,,1767.88
30-Mar-07,,,,1773.4
02-Apr-07,,,,1694.31
03-Apr-07,,,,1705.73
04-Apr-07,,,,1718.41
05-Apr-07,,,,1718.22
06-Apr-07,,,,1718.22
09-Apr-07,,,,1769.26
10-Apr-07,,,,1779.04
11-Apr-07,,,,1784.44
12-Apr-07,,,,1772.29
13-Apr-07,,,,1810.3
16-Apr-07,,,,1866.18
17-Apr-07,,,,1853.38
18-Apr-07,,,,1880.25
19-Apr-07,,,,1888.56
20-Apr-07,,,,1954.73
