Date,Close
30-12-2005,1036.63
02-01-2006,1042.7
03-01-2006,1058.47
04-01-2006,1075.07
05-01-2006,1084.3
06-01-2006,1088.21
09-01-2006,1080.57
10-01-2006,1065.1
12-01-2006,1058.83
13-01-2006,1053.96
16-01-2006,1044.43
17-01-2006,1033.76
18-01-2006,1024.28
19-01-2006,1039.15
20-01-2006,1057.3
23-01-2006,1047.38
24-01-2006,1048.38
25-01-2006,1059.89
27-01-2006,1090.66
30-01-2006,1083.16
31-01-2006,1086.82
01-02-2006,1071.61
02-02-2006,1059.24
03-02-2006,1045.25
06-02-2006,1071.12
07-02-2006,1090.24
08-02-2006,1084.6
10-02-2006,1087.11
13-02-2006,1091.32
14-02-2006,1084.49
15-02-2006,1083.41
16-02-2006,1084.78
17-02-2006,1065.92
20-02-2006,1067.28
21-02-2006,1076.78
22-02-2006,1080.07
23-02-2006,1073.91
24-02-2006,1084.83
27-02-2006,1094.57
28-02-2006,1098.08
01-03-2006,1105.83
02-03-2006,1115.68
03-03-2006,1105.79
06-03-2006,1111.42
07-03-2006,1108.8
08-03-2006,1087.29
09-03-2006,1092.31
10-03-2006,1111.17
13-03-2006,1111.39
14-03-2006,1117.26
16-03-2006,1124.87
17-03-2006,1121.64
20-03-2006,1121
21-03-2006,1108.07
22-03-2006,1099.37
23-03-2006,1101.43
24-03-2006,1108.5
27-03-2006,1114.91
28-03-2006,1110.54
29-03-2006,1116.3
30-03-2006,1114.32
31-03-2006,1118.59
03-04-2006,1135.55
04-04-2006,1155.81
05-04-2006,1168.01
07-04-2006,1139.1
10-04-2006,1134.57
12-04-2006,1112.27
13-04-2006,1088.22
17-04-2006,1105.19
18-04-2006,1127.54
19-04-2006,1127.92
20-04-2006,1129.11
21-04-2006,1129.36
24-04-2006,1112.37
25-04-2006,1096.71
26-04-2006,1113.14
27-04-2006,1106.92
28-04-2006,1108.2
02-05-2006,1164.09
03-05-2006,1188.85
04-05-2006,1200.85
05-05-2006,1190.83
08-05-2006,1196.39
09-05-2006,1205.77
10-05-2006,1229.7
11-05-2006,1222.07
12-05-2006,1202.59
15-05-2006,1168.68
16-05-2006,1161.81
17-05-2006,1196.08
18-05-2006,1121.85
19-05-2006,1077.31
22-05-2006,1041.56
23-05-2006,1068.81
24-05-2006,1052.49
25-05-2006,1037.18
26-05-2006,1059.16
29-05-2006,1065.95
30-05-2006,1054.09
31-05-2006,1014.29
01-06-2006,998.73
02-06-2006,1024.77
05-06-2006,1008.71
06-06-2006,998.41
07-06-2006,969.98
08-06-2006,906.45
09-06-2006,946.07
12-06-2006,904.29
13-06-2006,856.55
14-06-2006,843.5
15-06-2006,899.01
16-06-2006,925.22
19-06-2006,928.1
20-06-2006,904.67
21-06-2006,913.05
22-06-2006,951.81
23-06-2006,948.55
26-06-2006,916.08
27-06-2006,919.86
28-06-2006,907.19
29-06-2006,904.38
30-06-2006,935.78
03-07-2006,936.91
04-07-2006,946.95
05-07-2006,968.31
06-07-2006,953.95
07-07-2006,939.67
10-07-2006,943.79
11-07-2006,938.64
12-07-2006,938.8
13-07-2006,932.21
14-07-2006,918.37
17-07-2006,887.67
18-07-2006,878.14
19-07-2006,863.04
20-07-2006,898.33
21-07-2006,885.22
24-07-2006,914.54
25-07-2006,944.14
26-07-2006,954.38
27-07-2006,970.45
28-07-2006,978.02
31-07-2006,987.33
01-08-2006,982.37
02-08-2006,990.9
03-08-2006,1005.3
04-08-2006,998
07-08-2006,1007.22
08-08-2006,1036.07
09-08-2006,1044.04
10-08-2006,1054.87
11-08-2006,1048.87
14-08-2006,1058.06
16-08-2006,1073.2
17-08-2006,1070.22
18-08-2006,1067.27
21-08-2006,1077.99
22-08-2006,1081.55
23-08-2006,1065.46
24-08-2006,1070.06
25-08-2006,1080.27
28-08-2006,1082.05
29-08-2006,1090.02
30-08-2006,1094.55
31-08-2006,1094.95
01-09-2006,1111.39
04-09-2006,1124.01
05-09-2006,1123.52
06-09-2006,1119.52
07-09-2006,1116.24
08-09-2006,1115.7
11-09-2006,1090.61
12-09-2006,1107.48
13-09-2006,1146.45
14-09-2006,1158.56
15-09-2006,1157.34
18-09-2006,1166.89
19-09-2006,1156.91
20-09-2006,1165.93
21-09-2006,1187.96
22-09-2006,1179.06
25-09-2006,1175.28
26-09-2006,1195.7
27-09-2006,1215.22
28-09-2006,1252.18
29-09-2006,1254.12
03-10-2006,1247.65
04-10-2006,1235.83
05-10-2006,1259.9
06-10-2006,1254.36
09-10-2006,1247.42
10-10-2006,1245.68
11-10-2006,1238.96
12-10-2006,1258.56
13-10-2006,1268.73
16-10-2006,1291.43
17-10-2006,1284.94
18-10-2006,1277.13
19-10-2006,1258.76
20-10-2006,1258.56
23-10-2006,1244.84
26-10-2006,1274.2
27-10-2006,1291.05
30-10-2006,1309.93
31-10-2006,1303.82
01-11-2006,1301.69
02-11-2006,1313.2
03-11-2006,1313.9
06-11-2006,1312.74
07-11-2006,1309.95
08-11-2006,1307.74
09-11-2006,1318.81
10-11-2006,1341.2
13-11-2006,1354.95
14-11-2006,1362.09
15-11-2006,1388.16
16-11-2006,1410.42
17-11-2006,1399.22
20-11-2006,1387.28
21-11-2006,1400.3
22-11-2006,1408.05
23-11-2006,1416.38
24-11-2006,1417.91
27-11-2006,1429.81
28-11-2006,1411
29-11-2006,1409.16
30-11-2006,1421.73
01-12-2006,1441.13
04-12-2006,1435.64
05-12-2006,1423.18
06-12-2006,1420.43
07-12-2006,1425.4
08-12-2006,1414.92
11-12-2006,1342.23
12-12-2006,1298.48
13-12-2006,1330.3
14-12-2006,1362.2
15-12-2006,1378.22
18-12-2006,1386.48
19-12-2006,1362.34
20-12-2006,1353.52
21-12-2006,1354.11
22-12-2006,1357.93
26-12-2006,1382.63
27-12-2006,1405.15
28-12-2006,1407.2
29-12-2006,1403.81
01-01-2007,1403.81
02-01-2007,1414.88
03-01-2007,1423.42
04-01-2007,1413.13
05-01-2007,1423.92
08-01-2007,1408.55
09-01-2007,1394.26
10-01-2007,1366.74
11-01-2007,1383.28
12-01-2007,1456.53
15-01-2007,1465.2
16-01-2007,1465.47
17-01-2007,1476.52
18-01-2007,1476.64
19-01-2007,1476.44
22-01-2007,1478
23-01-2007,1454.46
24-01-2007,1469.18
25-01-2007,1486.65
26-01-2007,1486.65
29-01-2007,1467.57
30-01-2007,1467.57
31-01-2007,1460.06
01-02-2007,1480.56
02-02-2007,1491.1
05-02-2007,1509.74
06-02-2007,1510.18
07-02-2007,1537.15
08-02-2007,1545.55
09-02-2007,1538.26
12-02-2007,1491.92
13-02-2007,1475.77
14-02-2007,1435.03
15-02-2007,1471.97
16-02-2007,1471.97
19-02-2007,1484.96
20-02-2007,1462.9
21-02-2007,1463.75
22-02-2007,1433.99
23-02-2007,1385.62
26-02-2007,1391.62
27-02-2007,1373.78
28-02-2007,1312.22
01-03-2007,1332.89
02-03-2007,1314.68
05-03-2007,1263.38
06-03-2007,1283.9
07-03-2007,1259.72
08-03-2007,1309.94
09-03-2007,1309.38
12-03-2007,1318.12
13-03-2007,1332.6
14-03-2007,1284.93
15-03-2007,1268.34
16-03-2007,1255.5
19-03-2007,1277.69
20-03-2007,1294.2
21-03-2007,1327.44
22-03-2007,1373.9
23-03-2007,1376.8
26-03-2007,1355.65
27-03-2007,1355.65
28-03-2007,1322.87
29-03-2007,1321.21
30-03-2007,1324.59
02-04-2007,1249.03
03-04-2007,1251.52
04-04-2007,1271.06
05-04-2007,1294.17
06-04-2007,1294.17
09-04-2007,1331.94
10-04-2007,1343.07
11-04-2007,1335.75
12-04-2007,1321.11
13-04-2007,1353.72
16-04-2007,1370.51
17-04-2007,1374.18
18-04-2007,1385.39
19-04-2007,1385.12
20-04-2007,1406.28
23-04-2007,1401.77
24-04-2007,1449.99
25-04-2007,1467.63
26-04-2007,1468.24
27-04-2007,1434.97
30-04-2007,1407.18
01-05-2007,1407.18
02-05-2007,1407.18
03-05-2007,1427.84
04-05-2007,1415.92
07-05-2007,1407.85
08-05-2007,1393.59
09-05-2007,1410.31
10-05-2007,1422.93
11-05-2007,1432.4
14-05-2007,1460.91
15-05-2007,1477.03
16-05-2007,1514.01
17-05-2007,1531.67
18-05-2007,1534.05
21-05-2007,1549.3
22-05-2007,1556.82
23-05-2007,1543.26
24-05-2007,1523.35
25-05-2007,1530.77
28-05-2007,1552.17
29-05-2007,1553.39
30-05-2007,1538.14
31-05-2007,1559.77
01-06-2007,1572.84
04-06-2007,1581.93
05-06-2007,1601.44
06-06-2007,1557.97
07-06-2007,1546.51
08-06-2007,1526.26
11-06-2007,1523.82
12-06-2007,1524.76
13-06-2007,1509.5
14-06-2007,1530.52
15-06-2007,1535.72
18-06-2007,1534.88
19-06-2007,1569.82
20-06-2007,1596.49
21-06-2007,1607.64
22-06-2007,1614.39
25-06-2007,1618.5
26-06-2007,1615.96
27-06-2007,1605.82
28-06-2007,1620.99
29-06-2007,1663.79
02-07-2007,1665.78
03-07-2007,1684.18
04-07-2007,1680.33
05-07-2007,1679.02
06-07-2007,1667.23
09-07-2007,1682.12
10-07-2007,1670.6
11-07-2007,1669.35
12-07-2007,1697.87
13-07-2007,1709.65
16-07-2007,1731.11
17-07-2007,1719.35
18-07-2007,1720.7
19-07-2007,1737.44
20-07-2007,1727.23
23-07-2007,1730.21
24-07-2007,1728.15
25-07-2007,1717.87
26-07-2007,1719.97
27-07-2007,1653.19
30-07-2007,1669.53
31-07-2007,1704.76
01-08-2007,1632.38
02-08-2007,1653.28
03-08-2007,1679.41
06-08-2007,1660.43
07-08-2007,1661.7
08-08-2007,1700.87
09-08-2007,1669.22
10-08-2007,1634.64
13-08-2007,1653.01
14-08-2007,1649.27
15-08-2007,1649.27
16-08-2007,1567.06
17-08-2007,1553.36
20-08-2007,1601.51
21-08-2007,1538.72
22-08-2007,1550.38
23-08-2007,1528.29
24-08-2007,1545.22
27-08-2007,1610.05
28-08-2007,1614.5
29-08-2007,1617.17
30-08-2007,1636
31-08-2007,1658.58
03-09-2007,1687.13
04-09-2007,1694.46
05-09-2007,1695.53
06-09-2007,1720.41
07-09-2007,1719.64
10-09-2007,1723.26
11-09-2007,1721.49
12-09-2007,1726.09
13-09-2007,1750.74
14-09-2007,1752.2
17-09-2007,1745.96
18-09-2007,1780.33
19-09-2007,1863.63
20-09-2007,1866.38
21-09-2007,1881.79
24-09-2007,1925.97
25-09-2007,1919.22
26-09-2007,1947.4
27-09-2007,1962.28
28-09-2007,2011.99
01-10-2007,2013.31
02-10-2007,2013.31
03-10-2007,2046.89
04-10-2007,2015.88
05-10-2007,1972.78
08-10-2007,1925.2
09-10-2007,1994.35
10-10-2007,2018.95
11-10-2007,2053.73
12-10-2007,2004.02
15-10-2007,2079.05
16-10-2007,2118.71
17-10-2007,2041.31
18-10-2007,1937.54
19-10-2007,1886.85
22-10-2007,1934.87
23-10-2007,2040.61
24-10-2007,2057.17
25-10-2007,2099.72
26-10-2007,2164.42
29-10-2007,2251.26
30-10-2007,2244.85
31-10-2007,2264.55
01-11-2007,2264.89
02-11-2007,2317.52
05-11-2007,2275.5
06-11-2007,2239.34
07-11-2007,2218.31
08-11-2007,2184.91
09-11-2007,2157.8
12-11-2007,2154.11
13-11-2007,2217.11
14-11-2007,2346.3
15-11-2007,2330.78
16-11-2007,2325.46
19-11-2007,2330.31
20-11-2007,2295.24
21-11-2007,2189.79
22-11-2007,2214.21
23-11-2007,2235.21
26-11-2007,2273.13
27-11-2007,2269.31
28-11-2007,2252.39
29-11-2007,2275.11
30-11-2007,2336.37
03-12-2007,2352.19
04-12-2007,2342.98
05-12-2007,2383.48
06-12-2007,2397.06
07-12-2007,2442.05
10-12-2007,2459.16
11-12-2007,2514.47
12-12-2007,2528.34
13-12-2007,2504.99
14-12-2007,2475.88
17-12-2007,2371.82
18-12-2007,2347.15
19-12-2007,2336.76
20-12-2007,2325.81
21-12-2007,2325.81
24-12-2007,2402.86
26-12-2007,2443.62
27-12-2007,2451.76
28-12-2007,2464.24
31-12-2007,2474.14
02-01-2008,2569.77
03-01-2008,2541.34
04-01-2008,2584.46
07-01-2008,2619.15
08-01-2008,2587.06
09-01-2008,2600.65
10-01-2008,2573.52
11-01-2008,2631.55
14-01-2008,2643.21
15-01-2008,2584.15
16-01-2008,2559.69
17-01-2008,2529.09
18-01-2008,2409.66
21-01-2008,2209.61
22-01-2008,2099.31
23-01-2008,2220.17
24-01-2008,2189.31
25-01-2008,2351.41
28-01-2008,2382.06
29-01-2008,2329.54
30-01-2008,2285.18
31-01-2008,2252.1
01-02-2008,2301.25
04-02-2008,2345.53
05-02-2008,2333.93
06-02-2008,2279.57
07-02-2008,2214.44
08-02-2008,2161.02
11-02-2008,2056.65
12-02-2008,2067.57
13-02-2008,2121.35
14-02-2008,2233.68
15-02-2008,2289.53
18-02-2008,2296.9
19-02-2008,2304.03
20-02-2008,2230.79
21-02-2008,2203.82
22-02-2008,2137.87
25-02-2008,2133.54
26-02-2008,2147.61
27-02-2008,2157.68
28-02-2008,2152.39
29-02-2008,2156.32
03-03-2008,2008.31
04-03-2008,1949.04
05-03-2008,1935.59
07-03-2008,1833.88
10-03-2008,1816.07
11-03-2008,1832.49
